text,sentiment
"I loved the movie, it was fantastic!",1
"The plot was confusing and the acting was terrible.",0
"The performances were outstanding, and the story was gripping.",1
"I couldn't follow the storyline, and the dialogues were poorly written.",0
"The cinematography was beautiful, but the pacing was slow.",1
"The movie was a complete waste of time.",0
"The humor was spot-on, and the characters were well-developed.",1
"I found the movie to be dull and uninspiring.",0
"The twists and turns in the plot kept me on the edge of my seat.",1
"The special effects were amazing, but the script lacked depth.",0
